TOTAL_NUMBER,TOTAL_VALUE,OFFENCE_FINYEAR,OFFENCE_MONTH,ISSUING_AGENCY,OFFENCE_DESC
1,1320,2015-2016,Jun,Department of Primary Industries,Handle sell food so as to contravene the food safety scheme - Corporation
3,2640,2016-2017,Dec,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Feb,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Feb,Randwick City Council,Fail to comply with Food Standards Code - Corporation
5,2200,2016-2017,Feb,Burwood Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Apr,Bega Valley Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Apr,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Mar,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2016-2017,Feb,Department of Primary Industries,Sell food that is unsuitable - Corporation
1,770,2016-2017,Apr,Kiama Municipal Council,Handle food in manner likely to render it unsafe - Individual
2,1760,2017-2018,Aug,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Aug,Penrith City Council,Fail to comply with Food Standards Code - Individual
3,1320,2017-2018,Nov,Strathfield Municipal Council,Fail to comply with Food Standards Code - Individual
1,330,2017-2018,Jan,Fairfield City Council,Not appoint food safety supervisor for premises - Individual
2,1760,2017-2018,Apr,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Jun,City of Sydney Council,Fail to comply with Food Standards Code - Individual
4,5280,2018-2019,Aug,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
2,1760,2018-2019,Aug,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
1,330,2018-2019,Oct,Georges River Council,Not continue to have food safety supervisor for premises - Individual
1,440,2018-2019,Oct,Randwick City Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Nov,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Sep,Sutherland Shire Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Dec,Inner West Council,Fail to comply with Food Standards Code - Individual
2,880,2018-2019,Jan,Hawkesbury City Council,Fail to comply with Food Standards Code - Individual
7,3080,2012-2013,Feb,Central Coast Council,Fail to comply with Food Standards Code - Individual
2,880,2012-2013,Apr,Waverley Council,Fail to notify appropriate enforcement agency - Individual
2,880,2012-2013,Jun,Penrith City Council,Fail to comply with Food Standards Code - Individual
1,330,2013-2014,Sep,City of Parramatta,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
2,880,2013-2014,Aug,Gunnedah Shire Council,Fail to comply with Food Standards Code - Individual
4,3520,2013-2014,Oct,Camden Council,Fail to comply with Food Standards Code - Corporation
1,440,2013-2014,Oct,Inner West Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Dec,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2013-2014,Jan,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Feb,City of Sydney Council,Sell food that is unsuitable - Corporation
3,1320,2013-2014,May,Cessnock City Council,Fail to comply with Food Standards Code - Individual
4,1760,2013-2014,May,Queanbeyan City Council,Fail to comply with Food Standards Code - Individual
1,660,2013-2014,May,Fairfield City Council,Not appoint food safety supervisor for premises - Corporation
1,440,2013-2014,Mar,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,1540,2014-2015,Jul,Department of Primary Industries,Handle food in manner likely to render it unsafe - Corporation
9,3960,2014-2015,Mar,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
7,6160,2014-2015,Mar,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2014-2015,Feb,Newcastle City Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Apr,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,330,2014-2015,Mar,Blacktown City Council,Not appoint food safety supervisor for premises - Individual
4,1760,2015-2016,Jul,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Oct,Cumberland Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Nov,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
7,6160,2015-2016,Dec,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Dec,City of Lake Macquarie Council,Fail to comply with Food Standards Code - Individual
2,1760,2015-2016,Feb,Camden Council,Fail to comply with Food Standards Code - Corporation
1,1540,2015-2016,Sep,Department of Primary Industries,Sell unsafe food - Corporation
3,2640,2015-2016,May,City of Sydney Council,Fail to notify appropriate enforcement agency - Corporation
2,1760,2015-2016,May,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
8,7040,2016-2017,Jul,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,May,Georges River Council,Fail to notify appropriate enforcement agency - Corporation
1,440,2016-2017,Oct,Queanbeyan City Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Dec,Lismore City Council,Not continue to have food safety supervisor for premises - Corporation
5,2200,2016-2017,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,May,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Apr,Sutherland Shire Council,Not appoint food safety supervisor for premises - Corporation
2,2640,2016-2017,Apr,City of Canada Bay Council,Fail to pay fee required by improvement notice - Corporation
2,1760,2017-2018,Jan,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Nov,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Feb,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2017-2018,Mar,North Sydney City Council,Fail to comply with Food Standards Code - Individual
3,1320,2017-2018,May,Port Stephens Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Sep,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Oct,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2018-2019,Oct,Hornsby Shire Council,Sell food that is unsuitable - Corporation
5,4400,2018-2019,Nov,City of Parramatta,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Feb,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
19,16720,2012-2013,May,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
3,2640,2012-2013,May,Cumberland Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Jun,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Individual
7,3080,2013-2014,Aug,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
5,2200,2013-2014,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
4,3520,2013-2014,Oct,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,1320,2013-2014,Nov,Blacktown City Council,Sell food that is unsuitable - Corporation
7,3080,2013-2014,Oct,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
1,1320,2013-2014,Jan,City of Ryde,Handle food in manner likely to render it unsuitable - Corporation
2,880,2013-2014,Feb,The Hills Shire Council,Fail to comply with Food Standards Code - Individual
3,1320,2013-2014,May,Coffs Harbour City Council,Fail to comply with Food Standards Code - Individual
2,1320,2013-2014,Nov,Department of Primary Industries,Fail to keep prescribed records for 2 years
1,330,2014-2015,Jul,City of Sydney Council,Not appoint food safety supervisor for premises - Individual
2,880,2014-2015,Jul,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Oct,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
8,3520,2014-2015,Apr,Fairfield City Council,Fail to comply with Food Standards Code - Individual
2,1760,2015-2016,Jul,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
4,3520,2015-2016,Jul,The Hills Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Aug,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
8,7040,2015-2016,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
9,7920,2015-2016,Mar,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Apr,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,1320,2015-2016,May,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
18,15840,2015-2016,Jun,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Jul,Coffs Harbour City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2016-2017,Jul,Burwood Council,Fail to comply with Food Standards Code - Corporation
2,880,2016-2017,Aug,Randwick City Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Aug,Lane Cove Municipal Council,Fail to comply with Food Standards Code - Individual
3,3960,2016-2017,Aug,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
1,660,2016-2017,Nov,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
8,7040,2016-2017,Dec,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Jan,Cobar Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2016-2017,Jan,City of Parramatta,Fail to comply with Food Standards Code - Individual
5,4400,2016-2017,Apr,Liverpool City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Feb,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Apr,Port Stephens Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,May,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2016-2017,May,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Apr,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,660,2017-2018,Jul,Department of Primary Industries,Not comply with requirements of food safety scheme - Individual
1,440,2017-2018,Aug,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
6,2640,2017-2018,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Individual
10,4400,2017-2018,Oct,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,330,2017-2018,Sep,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
3,2640,2017-2018,Feb,Camden Council,Fail to comply with Food Standards Code - Corporation
1,660,2017-2018,Apr,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,330,2017-2018,May,Canterbury-Bankstown Council,Not keep and produce for inspection copy of food safety supervisor certificate - Individual
2,1760,2017-2018,May,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,1320,2017-2018,Jun,Willoughby City Council,Sell food that is unsuitable - Corporation
2,1760,2017-2018,Jun,Inverell Shire Council,Fail to comply with Food Standards Code - Corporation
5,2200,2018-2019,Sep,Bayside Council,Fail to comply with Food Standards Code - Individual
1,660,2017-2018,Feb,Department of Primary Industries,Sell food that is unsuitable - Individual
1,880,2018-2019,Aug,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
3,1320,2018-2019,Nov,Inner West Council,Fail to comply with Food Standards Code - Individual
8,7040,2018-2019,Dec,Cumberland Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Jan,Inner West Council,Fail to comply with Food Standards Code - Corporation
4,3520,2012-2013,Jan,Georges River Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Aug,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Dec,Wagga Wagga City Council,Fail to comply with Food Standards Code - Corporation
3,1320,2015-2016,Apr,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Nov,Willoughby City Council,Fail to comply with Food Standards Code - Individual
4,3520,2013-2014,Jul,Waverley Council,Fail to notify appropriate enforcement agency - Corporation
1,880,2016-2017,Sep,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,1540,2013-2014,Apr,Cobar Shire Council,Sell unsafe food - Corporation
11,4840,2016-2017,Mar,City of Sydney Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Sep,Office of Environment and Heritage (NPWS),Fail to comply with Food Standards Code - Corporation
2,1320,2015-2016,Dec,Wollongong City Council,Fail to notify sample analysed not meet standards in notice - Individual
2,1760,2016-2017,Oct,City of Ryde,Fail to comply with Food Standards Code - Corporation
1,330,2015-2016,Nov,Department of Primary Industries,Not appoint food safety supervisor for premises - Individual
1,440,2012-2013,Mar,Bega Valley Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2016-2017,Feb,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
3,1980,2015-2016,May,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,660,2014-2015,Mar,City of Sydney Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
2,880,2015-2016,Aug,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Jun,City of Parramatta,Fail to pay fee required by improvement notice - Individual
3,2640,2016-2017,Dec,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
1,770,2012-2013,Jun,Department of Primary Industries,Falsely describe food in promoting sale of food - Individual
3,2640,2013-2014,Jun,MidCoast Council,Fail to comply with Food Standards Code - Corporation
9,3960,2014-2015,Mar,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Individual
20,17600,2014-2015,Feb,Burwood Council,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Sep,Ku-ring-gai Council,Fail to comply with Food Standards Code - Individual
1,440,2012-2013,Apr,Bega Valley Shire Council,Fail to comply with Food Standards Code - Individual
4,1760,2018-2019,Oct,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Aug,Strathfield Municipal Council,Fail to comply with Food Standards Code - Corporation
2,1760,2013-2014,Feb,Sutherland Shire Council,Fail to comply with Food Standards Code - Corporation
3,2640,2013-2014,Jun,City of Lake Macquarie Council,Fail to comply with Food Standards Code - Corporation
4,1760,2013-2014,Jul,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Jun,Penrith City Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Jul,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Feb,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Jul,Lismore City Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Oct,Fairfield City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,May,Wollongong City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2012-2013,May,Inner West Council,Fail to comply with Food Standards Code - Corporation
4,3520,2016-2017,Jul,Inner West Council,Fail to comply with Food Standards Code - Corporation
3,1320,2017-2018,Feb,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
7,3080,2017-2018,May,Mosman Municipal Council,Fail to comply with Food Standards Code - Individual
1,660,2016-2017,Jan,City of Lake Macquarie Council,Not appoint food safety supervisor for premises - Corporation
4,1760,2014-2015,Nov,Cumberland Council,Fail to comply with Food Standards Code - Individual
10,4400,2012-2013,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Jul,Camden Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Feb,City of Canada Bay Council,Fail to comply with Food Standards Code - Corporation
3,2640,2013-2014,Mar,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,May,Blacktown City Council,Not appoint food safety supervisor for premises - Corporation
1,880,2014-2015,Apr,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
2,880,2015-2016,Jul,Bayside Council,Fail to comply with Food Standards Code - Individual
14,12320,2014-2015,Dec,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,Sep,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
7,3080,2017-2018,Sep,Willoughby City Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Feb,Waverley Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,Jun,Tamworth Regional Council,Fail to comply with Food Standards Code - Corporation
3,1320,2017-2018,Dec,City of Sydney Council,Fail to comply with Food Standards Code - Individual
9,7920,2018-2019,Aug,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
2,880,2013-2014,Jun,MidCoast Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Mar,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,880,2015-2016,Jun,Bayside Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,1760,2014-2015,Sep,Georges River Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Jan,Campbelltown City Council,Fail to comply with Food Standards Code - Corporation
10,8800,2012-2013,Jun,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
3,2640,2015-2016,Jan,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Aug,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,May,Coffs Harbour City Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Aug,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
1,330,2017-2018,Aug,City of Sydney Council,Not appoint food safety supervisor for premises - Individual
1,660,2017-2018,Oct,Liverpool City Council,Not appoint food safety supervisor for premises - Corporation
2,1320,2017-2018,Mar,Byron Shire Council,Fail to pay fee required by improvement notice - Individual
1,880,2015-2016,Aug,Tamworth Regional Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Sep,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,440,2014-2015,Dec,MidCoast Council,Fail to comply with Food Standards Code - Individual
7,3080,2014-2015,Mar,Inner West Council,Fail to comply with Food Standards Code - Individual
1,1540,2016-2017,Nov,Department of Primary Industries,Supply food not of nature required by purchaser - Corporation
1,660,2018-2019,Nov,Blacktown City Council,Not keep and produce for inspection copy of food safety supervisor certificate - Corporation
1,1320,2013-2014,Aug,Blacktown City Council,Sell food that is unsuitable - Corporation
2,1760,2013-2014,Dec,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,880,2012-2013,Feb,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,440,2016-2017,Jan,Cumberland Council,Fail to comply with Food Standards Code - Individual
5,2200,2015-2016,Dec,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,440,2012-2013,Jan,Richmond Valley Council,Fail to comply with Food Standards Code - Individual
3,2640,2014-2015,Nov,Inner West Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Apr,Georges River Council,Fail to comply with Food Standards Code - Corporation
5,4400,2017-2018,Jun,Mosman Municipal Council,Fail to comply with Food Standards Code - Corporation
2,1760,2016-2017,Feb,Central Coast Council,Fail to comply with Food Standards Code - Corporation
2,1320,2016-2017,Apr,City of Canada Bay Council,Fail to pay fee required by improvement notice - Individual
1,880,2013-2014,Dec,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Sep,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
2,1760,2014-2015,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,3520,2014-2015,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2014-2015,May,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2015-2016,Jun,Willoughby City Council,Fail to comply with Food Standards Code - Corporation
5,4400,2012-2013,Mar,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Corporation
4,3520,2016-2017,Jul,Department of Primary Industries,Fail to comply with Food Standards Code - Corporation
4,3520,2017-2018,Feb,Department of Primary Industries,Sell food packaged/labelled contravening Food Standards Code - Corporation
1,880,2016-2017,Jul,Ballina Shire Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,May,Blacktown City Council,Fail to comply with Food Standards Code - Individual
5,4400,2016-2017,Jan,Newcastle City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2016-2017,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
7,3080,2014-2015,Sep,Inverell Shire Council,Fail to comply with Food Standards Code - Individual
2,1760,2013-2014,Mar,Waverley Council,Fail to comply with Food Standards Code - Corporation
4,3520,2013-2014,Nov,Penrith City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2017-2018,Feb,Georges River Council,Fail to comply with Food Standards Code - Corporation
21,9240,2014-2015,Nov,Canterbury-Bankstown Council,Fail to comply with Food Standards Code - Individual
3,2640,2014-2015,Sep,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
2,1760,2018-2019,Oct,Hawkesbury City Council,Fail to comply with Food Standards Code - Corporation
1,660,2016-2017,Dec,Richmond Valley Council,Fail to pay fee required by improvement notice - Individual
1,880,2017-2018,Oct,Canterbury-Bankstown Council,Sell food packaged/labelled contravening Food Standards Code - Corporation
2,880,2013-2014,Aug,Queanbeyan City Council,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Dec,Penrith City Council,Fail to comply with Food Standards Code - Corporation
6,5280,2013-2014,Apr,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Oct,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,Apr,Maitland City Council,Fail to comply with Food Standards Code - Individual
1,440,2015-2016,Oct,Liverpool City Council,Fail to comply with Food Standards Code - Individual
1,880,2013-2014,Aug,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
1,440,2017-2018,Jun,Central Coast Council,Fail to comply with Food Standards Code - Individual
1,440,2014-2015,Jun,Waverley Council,Fail to comply with Food Standards Code - Individual
6,5280,2016-2017,Feb,North Sydney City Council,Fail to comply with Food Standards Code - Corporation
4,1760,2012-2013,Jan,Northern Beaches Council,Fail to comply with Food Standards Code - Individual
1,440,2016-2017,Apr,Broken Hill City Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Aug,City of Canada Bay Council,Fail to comply with Food Standards Code - Individual
1,880,2017-2018,Dec,Bayside Council,Fail to comply with Food Standards Code - Corporation
1,440,2012-2013,May,Cumberland Council,Fail to comply with Food Standards Code - Individual
1,660,2012-2013,Feb,Department of Primary Industries,Sell food that is unsuitable - Individual
1,440,2015-2016,Nov,Wollondilly Shire Council,Fail to comply with Food Standards Code - Individual
1,880,2018-2019,Jul,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
1,660,2015-2016,Sep,Northern Beaches Council,Fail to pay fee required by improvement notice - Individual
1,880,2014-2015,Sep,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,880,2013-2014,Feb,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
13,11440,2014-2015,Oct,City of Sydney Council,Fail to comply with Food Standards Code - Corporation
4,1760,2015-2016,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Individual
1,880,2015-2016,Mar,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Apr,Penrith City Council,Fail to pay fee required by improvement notice - Individual
1,440,2016-2017,Oct,Georges River Council,Fail to comply with Food Standards Code - Individual
4,3520,2014-2015,Mar,Hornsby Shire Council,Fail to comply with Food Standards Code - Corporation
3,1320,2013-2014,Aug,Department of Primary Industries,Fail to comply with Food Standards Code - Individual
1,880,2014-2015,Jul,MidCoast Council,Fail to comply with Food Standards Code - Corporation
1,440,2018-2019,Jan,Hornsby Shire Council,Fail to comply with Food Standards Code - Individual
2,880,2014-2015,Jan,Blue Mountains City Council,Fail to comply with Food Standards Code - Individual
1,440,2018-2019,Oct,City of Canada Bay Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Nov,Bayside Council,Fail to comply with Food Standards Code - Individual
1,880,2016-2017,Sep,Penrith City Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Oct,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,660,2012-2013,Feb,Yass Valley Council,Fail to pay fee required by improvement notice - Individual
4,3520,2013-2014,May,Ku-ring-gai Council,Fail to comply with Food Standards Code - Corporation
2,1760,2014-2015,Apr,Department of Primary Industries,Sell food that fails to comply with the Food Standards Code - Corporation
1,880,2012-2013,Apr,Blue Mountains City Council,Fail to comply with Food Standards Code - Corporation
10,13200,2013-2014,Nov,Department of Primary Industries,Not comply with requirements of food safety scheme - Corporation
3,2640,2015-2016,Jul,Randwick City Council,Fail to comply with Food Standards Code - Corporation
1,880,2018-2019,Dec,Blacktown City Council,Fail to comply with Food Standards Code - Corporation
1,880,2016-2017,May,Tamworth Regional Council,Fail to comply with Food Standards Code - Corporation
1,880,2017-2018,Mar,Wingecarribee Council,Fail to comply with Food Standards Code - Corporation
1,1540,2016-2017,Jun,Department of Primary Industries,Sell food packaged/labelled that falsely describes the food - Corporation
4,3520,2017-2018,Jul,Northern Beaches Council,Fail to comply with Food Standards Code - Corporation
2,880,2012-2013,Feb,Campbelltown City Council,Fail to comply with Food Standards Code - Individual
2,880,2015-2016,Aug,City of Sydney Council,Fail to comply with Food Standards Code - Individual
4,1760,2014-2015,Oct,Fairfield City Council,Fail to comply with Food Standards Code - Individual
3,1320,2016-2017,May,City of Sydney Council,Fail to comply with Food Standards Code - Individual
2,2640,2013-2014,Jul,North Sydney City Council,Fail to pay fee required by improvement notice - Corporation
